Differential_pressure,Dust_feed,Time,Dust
51.90249,118.214471599142,59.6,1.2
45.30165,59.1072357995712,113.0,1.2
46.9293,79.2462662797576,42.1,0.9
23.23857,59.1072357995712,10.3,0.9
8.951823,118.214471599142,18.6,1.025
219.817,59.1072357995712,196.0,1.2
2.260561,59.1072357995712,17.8,1.2
22.78646,158.492532559515,32.6,1.025
39.24334,236.428943198285,7.7,0.9
97.8371,59.1072357995712,161.5,1.2
21.43012,59.1072357995712,15.3,0.9
424.9856,59.1072357995712,154.0,1.025
30.11068,59.1072357995712,18.8,0.9
30.2011,316.98506511903,15.8,0.9
113.8419,158.492532559515,53.9,1.025
72.51881,59.1072357995712,148.3,1.2
48.37601,59.1072357995712,47.2,0.9
120.8044,59.1072357995712,167.5,1.2
20.0738,158.492532559515,15.5,0.9
282.2989,79.2462662797576,75.4,0.9
36.53067,158.492532559515,40.1,1.025
158.7818,316.98506511903,36.8,1.025
84.1833,59.1072357995712,87.0,0.9
162.5796,316.98506511903,40.8,1.025
230.4868,79.2462662797576,76.2,0.9
117.6396,118.214471599142,72.3,1.025
122.1607,118.214471599142,77.5,1.2
2.079716,316.98506511903,1.8,1.025
10.76027,79.2462662797576,43.8,1.025
11.12196,59.1072357995712,41.0,1.2
387.3698,59.1072357995712,243.5,1.2
24.5045,158.492532559515,13.7,0.9
18.08449,59.1072357995712,9.0,1.025
10.489,59.1072357995712,12.1,1.025
27.66927,158.492532559515,34.2,1.025
5.967882,59.1072357995712,15.1,1.025
361.509,316.98506511903,48.0,1.2
93.76808,316.98506511903,23.9,1.025
17.27069,79.2462662797576,56.3,1.025
5.696614,79.2462662797576,8.3,1.025
96.66161,59.1072357995712,124.1,1.025
172.9781,79.2462662797576,62.6,0.9
49.73235,158.492532559515,19.6,1.025
73.51345,158.492532559515,45.4,1.025
2.622251,59.1072357995712,46.1,1.2
35.71687,59.1072357995712,72.2,1.025
8.228443,118.214471599142,10.8,1.025
33.3659,79.2462662797576,26.0,0.9
7.324219,59.1072357995712,43.2,1.2
80.92809,158.492532559515,40.3,1.025
39.33377,59.1072357995712,107.3,1.2
89.8799,158.492532559515,26.1,0.9
16.18562,79.2462662797576,33.4,1.025
7.595486,158.492532559515,11.4,1.025
20.79716,158.492532559515,19.5,1.025
485.5686,118.214471599142,56.4,0.9
